fecha_prueba,tipo_salsa,tiempo_coccion_minutos,nivel_acidez,nivel_espesor,puntaje_final,notas_modificacion
2026-06-01,Pomodoro,20,9,3,3,Muy líquida y súper ácida. Fuego fuerte poco tiempo.
2026-06-05,Blanca,10,2,5,6,Bien de sabor pero le falta cuerpo. Poca harina.
2026-06-10,Pomodoro,35,7,6,6,Agregué una pizca de azúcar y dejé reducir más. Mejoró.
2026-06-15,Pesto,5,3,8,7,"Poco aceite, quedó un poco seca pero buen sabor."
2026-06-20,Pomodoro,45,5,7,7,"Fuego lento. Equilibró la acidez, falta un toque de espesor."
2026-06-25,Blanca,15,1,9,4,"Me pasé con el espesante, quedó un bloque."
2026-06-28,Demiglace,120,4,4,5,"Falta reducción, sabor poco profundo."
2026-07-02,Pomodoro,60,4,8,8,Agregué zanahoria rallada al sofrito. Acidez perfecta.
2026-07-05,Blanca,20,1,7,8,"Fuego medio, revolviendo en 8. Textura sedosa."
2026-07-08,Pesto,5,3,8,9,Ajusté proporción de albahaca y nueces. Excelente.
2026-07-10,Pomodoro,90,3,9,9,Reducción lenta y controlada. Sabor profundo.
2026-07-12,Blanca,25,1,8,9,Proporción 1:1 manteca y harina. Quedó espectacular.
2026-07-14,Demiglace,180,3,7,8,Tres horas de fuego corona. Brillo y consistencia ideal.
2026-07-16,Pesto,5,4,7,8,Agregué un toque más de parmesano.
2026-07-17,Pomodoro,120,2,9,10,Perfección absoluta. Balance ideal de acidez y dulzor.
